"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 06, 2020","1,282.44","1,296.20","1,299.76","1,278.22","-","-0.99%"
"Aug 05, 2020","1,295.27","1,265.72","1,297.97","1,265.14","-","2.79%"
"Aug 04, 2020","1,260.16","1,264.53","1,269.81","1,246.82","-","0.22%"
"Aug 03, 2020","1,257.42","1,235.20","1,260.47","1,234.97","-","1.86%"
"Jul 31, 2020","1,234.44","1,250.02","1,251.57","1,232.99","-","0.17%"
"Jul 30, 2020","1,232.35","1,265.60","1,266.81","1,226.86","-","-2.66%"
"Jul 29, 2020","1,266.01","1,255.89","1,270.42","1,254.15","-","0.66%"
"Jul 28, 2020","1,257.69","1,272.73","1,277.82","1,249.72","-","-0.67%"
"Jul 27, 2020","1,266.16","1,260.32","1,276.49","1,260.32","-","0.81%"
"Jul 24, 2020","1,255.98","1,249.86","1,258.36","1,243.54","-","-0.45%"
"Jul 23, 2020","1,261.62","1,262.61","1,274.56","1,254.06","-","0.52%"
"Jul 22, 2020","1,255.10","1,257.73","1,266.16","1,250.31","-","-0.37%"
"Jul 21, 2020","1,259.72","1,242.99","1,266.48","1,242.99","-","1.93%"
"Jul 20, 2020","1,235.85","1,214.76","1,235.85","1,205.79","-","1.62%"
"Jul 17, 2020","1,216.17","1,213.16","1,218.32","1,209.24","-","-0.31%"
"Jul 16, 2020","1,219.93","1,216.67","1,222.16","1,208.29","-","0.05%"
"Jul 15, 2020","1,219.26","1,212.88","1,228.41","1,210.14","-","0.20%"
"Jul 14, 2020","1,216.79","1,221.19","1,221.24","1,197.20","-","-1.43%"
"Jul 13, 2020","1,234.50","1,249.86","1,257.73","1,232.99","-","-0.90%"
"Jul 10, 2020","1,245.65","1,229.46","1,245.65","1,221.96","-","0.91%"
"Jul 09, 2020","1,234.42","1,242.94","1,252.25","1,230.07","-","-0.89%"
"Jul 08, 2020","1,245.54","1,240.60","1,250.44","1,238.71","-","-0.18%"
"Jul 07, 2020","1,247.83","1,240.89","1,251.90","1,229.91","-","0.06%"
"Jul 06, 2020","1,247.14","1,246.84","1,266.28","1,241.71","-","0.97%"
"Jul 03, 2020","1,235.18","1,245.05","1,252.64","1,229.44","-","-1.05%"
"Jul 02, 2020","1,248.28","1,222.73","1,250.57","1,220.84","-","2.94%"
