"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 06, 2020","3,386.46","3,380.76","3,392.70","3,334.33","41.53B","0.26%"
"Aug 05, 2020","3,377.56","3,363.33","3,383.64","3,333.88","38.58B","0.17%"
"Aug 04, 2020","3,371.69","3,376.44","3,391.07","3,352.50","44.23B","0.11%"
"Aug 03, 2020","3,367.97","3,332.18","3,368.10","3,327.68","40.75B","1.75%"
"Jul 31, 2020","3,310.01","3,280.80","3,333.79","3,261.61","35.38B","0.71%"
"Jul 30, 2020","3,286.82","3,299.57","3,312.45","3,282.16","34.07B","-0.23%"
"Jul 29, 2020","3,294.55","3,221.99","3,294.55","3,209.99","32.49B","2.06%"
"Jul 28, 2020","3,227.96","3,226.13","3,245.30","3,208.49","28.94B","0.71%"
"Jul 27, 2020","3,205.23","3,210.39","3,221.98","3,174.66","29.93B","0.26%"
"Jul 24, 2020","3,196.77","3,310.65","3,319.13","3,184.96","42.71B","-3.86%"
"Jul 23, 2020","3,325.11","3,306.15","3,336.30","3,257.83","40.70B","-0.24%"
"Jul 22, 2020","3,333.16","3,315.18","3,381.98","3,311.79","39.33B","0.37%"
"Jul 21, 2020","3,320.89","3,330.55","3,336.68","3,300.57","35.93B","0.20%"
"Jul 20, 2020","3,314.15","3,243.91","3,314.15","3,220.68","41.86B","3.11%"
"Jul 17, 2020","3,214.13","3,214.40","3,252.78","3,181.27","35.97B","0.13%"
"Jul 16, 2020","3,210.10","3,356.36","3,373.53","3,209.73","49.06B","-4.50%"
"Jul 15, 2020","3,361.30","3,422.08","3,432.45","3,345.75","49.20B","-1.56%"
"Jul 14, 2020","3,414.62","3,435.02","3,451.22","3,366.08","54.32B","-0.83%"
"Jul 13, 2020","3,443.29","3,379.39","3,458.79","3,369.04","55.80B","1.77%"
"Jul 10, 2020","3,383.32","3,418.93","3,433.11","3,372.51","55.61B","-1.95%"
"Jul 09, 2020","3,450.59","3,403.48","3,456.97","3,393.64","62.00B","1.39%"
"Jul 08, 2020","3,403.44","3,337.55","3,421.53","3,327.71","58.71B","1.74%"
"Jul 07, 2020","3,345.34","3,380.95","3,407.08","3,336.24","65.78B","0.37%"
"Jul 06, 2020","3,332.88","3,187.84","3,337.27","3,187.84","64.39B","5.71%"
"Jul 03, 2020","3,152.81","3,104.00","3,152.81","3,104.00","45.88B","2.01%"
"Jul 02, 2020","3,090.57","3,023.72","3,092.44","3,021.67","39.11B","2.13%"
"Jul 01, 2020","3,025.98","2,991.18","3,026.19","2,984.98","27.33B","1.38%"
"Jun 30, 2020","2,984.67","2,965.11","2,990.83","2,965.11","21.50B","0.78%"
"Jun 29, 2020","2,961.52","2,973.08","2,977.91","2,951.77","22.06B","-0.61%"
"Jun 24, 2020","2,979.55","2,972.98","2,982.94","2,971.22","21.32B","0.30%"
"Jun 23, 2020","2,970.62","2,960.89","2,972.40","2,949.85","22.52B","0.18%"
"Jun 22, 2020","2,965.27","2,966.90","2,983.44","2,959.03","26.79B","-0.08%"
"Jun 19, 2020","2,967.63","2,938.79","2,973.32","2,935.82","26.43B","0.96%"
"Jun 18, 2020","2,939.32","2,929.88","2,942.90","2,920.11","25.87B","0.12%"
"Jun 17, 2020","2,935.87","2,932.67","2,936.62","2,919.04","23.47B","0.14%"
"Jun 16, 2020","2,931.75","2,912.83","2,931.78","2,909.13","22.33B","1.44%"
"Jun 15, 2020","2,890.03","2,908.28","2,922.54","2,890.03","24.32B","-1.02%"
